location_no,property_jibun_juso,property_doro_juso,zipcode,x_coordinate,y_coordinate,formated_price,jibun_juso
164,강남구 삼성동 142-3,서울 강남구 테헤란로63길 12,6160,127.050928670633,37.5061683570162,3.00,서울특별시강남구 삼성동 142-3
165,강남구 삼성동 142-7,서울 강남구 선릉로100길 42,6160,127.050853385036,37.5065582543402,3.30,서울특별시강남구 삼성동 142-7
166,강남구 삼성동 143-48,서울 강남구 테헤란로 435,6159,127.054495801499,37.5066229440822,2.96,서울특별시강남구 삼성동 143-48
167,강남구 삼성동 146,서울 강남구 봉은사로 510,6163,127.054629761687,37.5130548831322,29.18,서울특별시강남구 삼성동 146
168,강남구 삼성동 158-10,서울 강남구 테헤란로87길 17,6169,127.058376933082,37.5088089998235,13.65,서울특별시강남구 삼성동 158-10
169,강남구 삼성동 158-4,서울 강남구 테헤란로83길 14,6169,127.057886715349,37.5084774911492,2.25,서울특별시강남구 삼성동 158-4
170,강남구 삼성동 16-2,서울 강남구 학동로68길 29,6090,127.048472953744,37.5163123563071,28.50,서울특별시강남구 삼성동 16-2
171,강남구 삼성동 17,서울 강남구 학동로 432,6091,127.048701765343,37.5176763813954,18.50,서울특별시강남구 삼성동 17
172,강남구 삼성동 188,서울 강남구 삼성로 629,6094,127.051131434251,37.5154203230155,25.00,서울특별시강남구 삼성동 188
173,강남구 삼성동 189,서울 강남구 삼성로 651,6091,127.049864848381,37.5177086025156,42.00,서울특별시강남구 삼성동 189
174,강남구 삼성동 2,서울 강남구 선릉로130길 19,6088,127.04274514562,37.5170298747364,19.30,서울특별시강남구 삼성동 2
175,강남구 삼성동 3-3,서울 강남구 학동로 412,6089,127.044848322617,37.5174481515683,20.30,서울특별시강남구 삼성동 3-3
176,강남구 삼성동 4-3,서울 강남구 학동로 420,6089,127.046080481142,37.517794293276,14.50,서울특별시강남구 삼성동 4-3
177,강남구 삼성동 4-6,서울 강남구 학동로64길 7,6089,127.045503680429,37.5173889752862,18.60,서울특별시강남구 삼성동 4-6
178,강남구 삼성동 45-9,서울 강남구 봉은사로 461,6096,127.050079950206,37.5123931300773,6.80,서울특별시강남구 삼성동 45-9
179,강남구 삼성동 47-6,서울 강남구 삼성로115길 37-4,6096,127.049017131528,37.5138686096079,2.70,서울특별시강남구 삼성동 47-6
180,강남구 삼성동 48,서울 강남구 봉은사로73길 23,6096,127.049875942307,37.5139822270859,15.00,서울특별시강남구 삼성동 48
181,강남구 삼성동 50,서울 강남구 삼성로111길 8,6095,127.051485875359,37.5138589096778,27.80,서울특별시강남구 삼성동 50
182,강남구 삼성동 53-2,서울 강남구 학동로88길 5,6084,127.052120634695,37.518713869055,45.80,서울특별시강남구 삼성동 53-2
183,강남구 삼성동 58-2,서울 강남구 영동대로 647,6085,127.05663027909,37.5197289353154,4.00,서울특별시강남구 삼성동 58-2
184,강남구 삼성동 6,서울 강남구 학동로64길 14,6089,127.04468074369,37.5167880498618,16.00,서울특별시강남구 삼성동 6
185,강남구 삼성동 7-3,서울 강남구 선릉로130길 20,6088,127.043436336716,37.5161516847431,36.80,서울특별시강남구 삼성동 7-3
186,강남구 삼성동 78-4,서울 강남구 영동대로128길 5,6078,127.058363192247,37.5197770161927,23.00,서울특별시강남구 삼성동 78-4
187,강남구 삼성동 87,서울 강남구 영동대로 640,6080,127.059339817012,37.5182872615614,77.90,서울특별시강남구 삼성동 87
188,강남구 삼성동 91-5,서울 강남구 영동대로114길 7-9,6081,127.060207020358,37.5159521427419,5.70,서울특별시강남구 삼성동 91-5
189,강남구 세곡동 508,서울 강남구 헌릉로590길 100,6366,127.100502534024,37.4642296169066,10.00,서울특별시강남구 세곡동 508
190,강남구 세곡동 525,서울 강남구 헌릉로590길 63,6366,127.101185384316,37.4602885503743,15.90,서울특별시강남구 세곡동 525
191,강남구 세곡동 533,서울 강남구 자곡로 21,6375,127.092967002535,37.4667793397486,15.40,서울특별시강남구 세곡동 533
